,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454
Decision Tree,0.6818181818181818,0.5531914893617021,0.48148148148148145,0.5148514851485149
Random Forest,0.7792207792207793,0.717391304347826,0.6111111111111112,0.66
K-Nearest Neighbors,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846
